Rel,Year,ID,Status,Group,Album,Comments
33,74,293,JAZZ,Chick Corea,Circle Paris Concert,2
67,74,295,BLUES,John Mayall,The Blues Alone,
69,74,296,BLUES,John Mayall,Turning Point,
33,74,297,BLUES,Andrew Odom,Andrew Odom,
33,74,298,BLUES,Various,A Taste of Bluesway,
33,74,299,FOLK,Leo Kottke,Dreams and All That Stuff,
74,74,300,NEXT,Santana,Borboletta,
33,75,301,FOLK,John Fahey,The Essential,2
33,75,303,KEEP,Old and In The Way,Old and In The Way,
33,75,304,LP,Keith and Donna,Keith and Donna,
33,75,305,LITZ,Charlie Daniels,Charlie Daniels,
33,75,306,BLUES,Muddy Waters,Fathers and Sons,2
33,75,308,BLUES,Jimmy Reed,Soul Greats,
33,75,309,BLUES,Louisiana Red,Sings the Blues,
65,75,310,BLUES,Alec Seward,Creeping Blues,
33,75,311,JAZZ,Larry Coryell,Spaces,
33,75,312,JAZZ,Larry Coryell,Restful Mind,
33,75,313,LP,Dickey Betts,Highway Call,
33,75,314,SOLD,Peter Green,End of the Game,
33,75,315,JAZZ,Larry Coryell,Barefoot Boy,
33,75,316,LP,Quicksilver,Quicksilver,
33,75,317,BLUES,Buddy Guy,Left My Blues in SF,
33,75,318,BLUES,Various,Gasoline,
33,75,319,BLUES,Slim Green,Stone Down Blues Guitar,
70,75,320,BLUES,Shuggie Otis,Here Comes,
33,75,321,BLUES,Cleanhead Vinson,Cant Make Love Alone,
69,75,322,BLUES,BB King,Live and Well,
33,75,323,STEVE,Memphis Slim,Blue Memphis,
33,75,324,STEVE,Various,British Blues Archive 1,
33,75,325,STEVE,Various,British Blues Archive 2,
33,75,326,STEVE,Various,British Blues Archive 3,
33,75,327,STEVE,Various,British Blues Archive 4,
33,75,328,JAZZ,John McLaughlin,Birds of Fire,
33,75,329,NEXT,Santana,Love Devotion Surrender,
70,75,330,NEXT,Santana,Abraxas,
73,75,331,NEXT,Santana,Welcome,
71,75,332,CD,Yes,The Yes Album,
75,75,333,CC,Dead,Blues For Allah,
71,75,334,CD,Pink Floyd,Meddle,
33,75,335,LP,Pink Floyd,A Nice Pair,2
33,75,337,FOLK,John Fahey,After the Ball,
33,75,338,SOLD,Hot Tuna,Burgers,
33,75,339,BLUES,Sonny Boy Williamson,Sonny Boy Williamson,
33,75,341,BLUES,Jimmy Witherspoon,Best Of,
69,76,342,NEXT,Youngbloods,Elephant Mountain,
33,76,343,SOLD,Little Feat,Dixie Chicken,
33,76,344,LP,Phil Lesh,Seastones,
76,76,345,SOLD,Garcia,Reflections,
72,76,346,LP,Garcia,Heavy Turbulence,
75,76,347,SOLD,Pink Floyd,Wish You Were Here,
69,76,348,CD,Pink Floyd,Umma Gumma,2
72,76,350,NEXT,Santana,Caravanserai,
33,76,351,KEEP,Joni Mitchell,For the Roses,
33,76,352,KEEP,Joni Mitchell,Court and Spark,
75,76,353,LITZ,Band,Northern Lights Southern Cross,
33,76,354,SOLD,NRPS,New Riders of the Purple Sage,
76,76,355,LP,Bob Weir,Kingfish,
76,76,356,SOLD,Dead,Steal Your Face,2
72,76,358,CD,Pink Floyd,Obscured By Clouds,
33,76,359,LP,The Section,The Section,
33,76,360,LP,Robert Hunter,Rum Runners,
75,76,361,STEVE,Bob Dylan,Blood on the Tracks,
75,76,362,CD,Danny Gatton,American Music,
75,76,363,FOLK,Seldom Scene,Live at the Cellar Door,2
73,76,365,LP,Genesis,Selling England By the Pound,
