:.,$!sort -t, -bk6,6 -k1,2n -bk7,7,,,
0,0,MC,1,ROCK1,Cake,Showroom of Compassion,,
9999,0,MD,1,JAZZ3,California Guitar Trio,Rocks the Weat,,
19999,0,MD,1,JAZZ3,California Guitar Trio,Ten Xmas Songs,,
29999,0,MD,1,JAZZ3,California Guitar Trio,CGT3+2,,
39999,0,MD,1,JAZZ3,California Guitar Trio,First Decade,,
939999,0,MD,1,JAZZ3,California Guitar Trio,Yamanashi Blues,,
959999,0,MD,1,JAZZ3,California Guitar Trio,Invitation,,
989999,0,MD,1,JAZZ3,California Guitar Trio,Pathways,,
0,0,MC,1,CLASS,Canadian Brass,English Renaissance Music,,
0,0,MC,1,CLASS,Canadian Brass,The Dixieland Album,,
0,0,M3,1,JAZZ1,Cannonball Adderley,Something Else,,
@00000,0,MC,1,XMASS,Caribbean Steel Drum Ensemble,Christmas in Caribbean,,
0,0,M3,1,XMASS,Carlos-Nakai,Winter-Dreams,,
0,0,MC,1,FOLK1,Carter Family,Press On,#NAME?,
0,0,MC,1,FOLK1,Carter Family,The Unbroken Circle,Tribute,
0,0,MC,1,CLASS,Catalina Vicens,Parthenia,,
0,0,CD,1,JAZZ1,Cecil Taylor,Unit Structures,Weird,
0,0,MC,1,JAZZ1,Charles Lloyd,Hagars Song,+Jason Moran,
0,0,CC,1,JAZZ1,Charlie Byrd,At the Village Gate,,
0,0,MC,1,JAZZ1,Charlie Christian,Genius of Electric Guitar,,
0,305,VL,1,ROCK1,Charlie Daniels,Charlie Daniels,,
0,0,MC,1,BLUER,Charlie Musselwhite,Continental Drifter,,
0,0,MC,1,BLUER,Charlie Musselwhite,In My Time,,
0,0,MC,1,BLUER,Charlie Musselwhite,Juke Joint Chapel,,
0,0,MC,1,BLUER,Charlie Musselwhite,Rough News,,
0,0,MC,1,FOLK1,Cherryholmes,Cherryholmes I,,
0,0,MC,1,FOLK1,Cherryholmes,Cherryholmes III,,
0,0,CC,1,FOLK2,Chet Atkins,CGP,,
0,0,CC,1,FOLK2,Chet Atkins,Read My Licks,,
0,0,CC,2,FOLK2,Chet Atkins,The RCA Years,,
0,0,MC,1,JAZZ5,Chick Corea,Change,,
0,293,LP,2,JAZZ5,Chick Corea,Circle Paris Concert,,
0,0,MC,2,JAZZ5,Chick Corea,Continents,,
0,0,MC,2,JAZZ5,Chick Corea,Duet with Hiromi,,
0,0,MC,2,JAZZ5,Chick Corea,Five Peace Band,+John McLaughlin,
0,0,MC,2,JAZZ5,Chick Corea,Forever,+Stanley Clarke,
0,0,MC,1,JAZZ5,Chick Corea,Like Minds,,
0,0,M3,1,JAZZ5,Chick Corea,Live at the Blue Note,,
0,0,MC,1,JAZZ5,Chick Corea,New Duets,+Gary Burton,
0,0,MC,1,JAZZ5,Chick Corea,Now He Sings Now He Sobs,,
0,0,CC,1,JAZZ5,Chick Corea,Origin,,
0,0,M3,1,JAZZ5,Chick Corea,Origin,,
0,0,MC,2,JAZZ5,Chick Corea,RTF Anthology,,
0,0,MC,1,JAZZ5,Chick Corea,Remembering Bud Powell,,
0,0,MC,2,JAZZ5,Chick Corea,Rendezvous in NY,,
0,0,MC,3,JAZZ5,Chick Corea,Trilogy,,
0,0,MC,1,JAZZ5,Chick Corea,Trio Live in Europe,,
0,0,MC,1,JAZZ5,Chick Corea,Ultimate Adventure,,
0,0,MC,1,JAZZ5,Chick Corea,Vigil,,
760000,0,MD,1,JAZZ5,Chick Corea,Corea+Hancock+Jarrett+Tyner,,
870000,0,CD,1,JAZZ5,Chick Corea,Mystic Bridge,,
0,0,M3,1,HARPS,Chieftans,Celtic Harp,,
0,0,M3,2,IRISH,Chieftans,Chronicles,,
0,0,M3,2,IRISH,Chieftans,Essential,,
0,0,M3,1,CLASS,Chopin,24 Preludes,,
0,0,MC,1,CLASS,Chopin,Chopin Variations V1,DUP,
0,0,MC,1,CLASS,Chopin,Chopin for Dummies,,
0,0,MC,1,CLASS,Chopin,Complete Preludes,,
0,0,M3,1,CLASS,Chopin,Etudes-Opus-10+25,,
0,0,M3,1,CLASS,Chopin,Funeral March,,
0,0,MC,1,CLASS,Chopin,Nocturnes 1-21,,
0,0,M3,1,CLASS,Chopin,Yunchan Lim-plays-Etudes,,
0,0,MC,1,ROCK1,Chris Isaak,Heart Shaped World,,
0,0,MC,1,ROCK1,Chris Isaak,Mr. Lucky,,
0,0,M3,1,FOLK3,Chris Thile,Goat Rodeo Sessions,+Edgar Meyer,
0,0,M3,1,FOLK3,Chris Thile,Live Duets,+Mike Marshall,
39999,0,MD,1,FOLK3,Chris Thile,Into the Cauldron,+Mike Marshall,
0,219,XX,1,ROCK1,Chuck Berry,Berrys Greatest Hits,,
0,261,XX,2,ROCK1,Chuck Berry,StL to SFO to Memphis,,
0,220,XX,1,ROCK1,Chuck Berry,Sweet Little Rock and Roller,,
0,0,MC,1,BLUES,Clarence Gatemouth Brown,Back to Bogalusa,,
0,0,MC,1,BLUES,Clarence Gatemouth Brown,Long Way Home,,
0,0,MC,1,BLUES,Clarence Gatemouth Brown,Standing My Ground,,
0,0,MC,1,XMASS,Clark Family,Smoky Mountain Holiday,,
0,321,LP,1,BLUES,Cleanhead Vinson,Cant Make Love Alone,,
0,0,CC,1,ROCK1,Coldplay,Ghost Stories,,
0,0,CD,1,ROCK1,Coldplay,Mylo Xyloto,,
0,0,CD,1,ROCK1,Coldplay,Parachutes,,
